,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,@@,@@,@@,@@,window_02,@@,window_02,@@,@@,@@,@@,@@,@@,@@,@@,@@,window_02,@@,@@,window_02,@@,@@,window_02,@@,@@,@@,@@,window_02,@@
,window_02,house_bench,,,,crate,medical_cupboard_01,house_fridge,house_fridge,@@,house_bench,,crate,crate,@@,house_bath_right,,@@,house_shink,house_stove,@@,house_library,house_small_library,,door_02_close,,@@,house_toilet_right,@@
,@@,house_table,house_table,house_table,,,,,,@@,,,,crate,@@,house_toilet_right,,@@,,house_fridge,@@,,,,@@,,@@,,@@
,@@,,,,,,,,,@@,door_02_close,@@,window_02,@@,@@,house_shink,,@@,door_02_open,@@,@@,house_bed_right,,house_wardrobe,@@,,@@,door_02_close,@@
,@@,,,house_wardrobe,house_wardrobe,house_wardrobe,,house_library,house_library,@@,,,garden_dirty_1,,outside_metal_fence_1,@@,door_02_close,@@,,house_cupboard_01,@@,@@,@@,@@,@@,,house_table,,@@
outside_metal_fence_1,@@,@@,door_02_close,@@,window_02,@@,window_02,@@,@@,@@,outside_metal_fence_1,outside_metal_door_01_close,outside_metal_fence_1,outside_metal_fence_1,outside_metal_fence_1,@@,,,,house_bench,@@,house_stove,house_shink,house_cupboard_01,@@,,house_bench,,@@
outside_metal_fence_1,dirty_top_right_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,@@,,,house_wardrobe,house_bed_left,@@,,,,,,,,@@
outside_metal_fence_1,dirty_right_01,,,,,,,,,,,,,,dirty_left_01,@@,@@,door_02_close,@@,window_02,@@,@@,window_02,@@,@@,door_02_close,@@,window_02,@@
outside_metal_door_01_close,dirty_right_01,,,,,,,,,,,,,,dirty_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_01,dirty_top_left_01,outside_metal_fence_1
outside_metal_fence_1,dirty_right_01,,,,,,,,,,,,,,,,,,,,,,,,,,,dirty_left_01,outside_metal_door_01_close
outside_metal_fence_1,dirty_bottom_right_01,dirty_bottom_01,dirty_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_01,,,,military_crate,,,,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,outside_metal_fence_1
outside_metal_fence_1,garden_stone,garden_stone,dirty_river_vertical_01,garden_stone,garden_stone,garden_stone,garden_stone,dirty_bottom_right_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_01,dirty_01,dirty_bottom_01,dirty_bottom_01,dirty_bottom_left_01,outside_wooden_fence_2,outside_wooden_fence_2,outside_wooden_fence_2,outside_wooden_fence_2,outside_wooden_fence_2,@@,@@,window_02,door_02_close,@@,door_02_close,window_02,@@,@@
outside_metal_fence_1,garden_stone,garden_stone,dirty_river_vertical_01,garden_stone,garden_stone,garden_stone,garden_stone,garden_stone,garden_stone,garden_stone,garden_stone,dirty_river_vertical_01,garden_stone,garden_stone,garden_stone,outside_wooden_fence_2,factory_industrial_pipe_left,factory_industrial_pipe_middle,factory_industrial_pipe_valve,factory_industrial_pipe_right,window_02,house_small_library,,,@@,,,house_small_library,window_02
outside_metal_fence_1,garden_tree_8,,dirty_river_vertical_01,,crate,crate,@@,@@,@@,@@,@@,door_02_close,@@,@@,,outside_wooden_fence_2,misc_barrel,misc_barrel,,factory_industrial_part_left_02,@@,house_bed_right,,house_wardrobe,@@,house_wardrobe,,house_bed_left,@@
outside_metal_fence_1,,,dirty_river_vertical_01,,garden_stone,,@@,house_bench,house_table,house_bench,house_cupboard_01,,house_fridge,@@,,outside_wooden_fence_2,misc_barrel,,,military_crate,@@,@@,@@,@@,@@,@@,,,@@
outside_metal_fence_1,,,dirty_river_vertical_01,garden_dirty_1,,,@@,,,,,,,@@,,outside_wooden_fence_2,,,,garden_tree_11,@@,house_bed_right,,house_wardrobe,@@,house_wardrobe,,house_bed_left,@@
outside_metal_fence_1,garden_dirty_1,,dirty_river_vertical_01,,garden_grass_3,,@@,house_shink,house_stove,,house_bench,house_table,house_bench,@@,,outside_wooden_fence_2,crate,,,garden_stone,window_02,house_small_library,,,@@,,,house_small_library,window_02
outside_metal_fence_1,,,dirty_river_vertical_01,,,,@@,@@,@@,door_02_close,@@,@@,@@,@@,,outside_wooden_fence_2,outside_wooden_fence_2,outside_wooden_door_01_close,outside_wooden_fence_2,outside_wooden_fence_2,@@,@@,window_02,door_02_close,@@,door_02_close,window_02,@@,@@
outside_metal_fence_1,,,dirty_river_vertical_01,,garden_dirty_1,,,car_jeep,,dirty_river_vertical_01,,,,,,garden_stone,garden_stone,dirty_river_top_right_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_01,dirty_river_horizontal_bottom_01,dirty_river_horizontal_01,dirty_river_horizontal_top_01,dirty_river_horizontal_01,dirty_river_top_left_01,garden_stone,crate,outside_metal_fence_1
